_URI,_CREATOR_URI_USER,_CREATION_DATE,_LAST_UPDATE_URI_USER,_LAST_UPDATE_DATE,_MODEL_VERSION,_UI_VERSION,_IS_COMPLETE,_SUBMISSION_DATE,_MARKED_AS_COMPLETE_DATE,ATRIBUTOSDELAMUESTRA_PAIS,ATRIBUTOSDELAMUESTRA_COORDENADA_LAT,ATRIBUTOSDELAMUESTRA_FECHAHORA,ATRIBUTOSDELAMUESTRA_COORDENADA_ACC,ATRIBUTOSDELAMUESTRA_COORDENADA_LNG,ATRIBUTOSDELAMUESTRA_FECHAHORA_RAW,ATRIBUTOSDELAMUESTRA_COORDENADA_ALT,ATRIBUTOSDELAMUESTRA_CODIGOMUESTRA,ATRIBUTOSDELAMUESTRA_LUGAR,META_INSTANCE_ID,_URI,_CREATOR_URI_USER,_CREATION_DATE,_LAST_UPDATE_URI_USER,_LAST_UPDATE_DATE,_PARENT_AURI,_ORDINAL_NUMBER,_TOP_LEVEL_AURI,MEDICIONES_A,MEDICIONES_B,MEDICIONES_CODIGOCLASTO
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:94de88c9-366c-4e96-bde8-564ddcd75440,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,11,uuid:27bc3379-0fa7-4527-9649-42902f71089a,260,110,034
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:1323ba61-c2bf-4d6c-a81a-18df26c85bb4,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,12,uuid:27bc3379-0fa7-4527-9649-42902f71089a,92,60,050
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:d89a6515-4260-47f1-8bde-c4e9563da034,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,13,uuid:27bc3379-0fa7-4527-9649-42902f71089a,106,80,033
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:c6a403ea-19c7-4c12-9c67-275fd304d958,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,14,uuid:27bc3379-0fa7-4527-9649-42902f71089a,100,81,028
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:3a65a28f-e8de-4ef0-8288-3c71a56e9524,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,15,uuid:27bc3379-0fa7-4527-9649-42902f71089a,310,270,039
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:52f66ea2-d9f7-4c8d-8fa0-a9dd81a5fc66,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,16,uuid:27bc3379-0fa7-4527-9649-42902f71089a,133,88,048
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:6090fd7b-eb88-4e41-b913-c6aff39653f0,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,17,uuid:27bc3379-0fa7-4527-9649-42902f71089a,285,210,040
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:8eff9381-0d01-4519-a9e0-7cb7aeed8f0d,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,18,uuid:27bc3379-0fa7-4527-9649-42902f71089a,240,160,026
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:8caf3539-b915-4c55-89fa-700051178d19,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,19,uuid:27bc3379-0fa7-4527-9649-42902f71089a,410,370,001
uuid:27bc3379-0fa7-4527-9649-42902f71089a,anonymousUser,2019-07-26 22:52:38.711,NULL,2019-07-26 22:52:38.711,NULL,NULL,t,2019-07-26 22:52:38.703,2019-07-26 22:52:38.703,República Dominicana,18.6057700000,2019-07-26 21:09:00,0.8000000119,-70.2142983333,2019-07-26T17:09:00.000-04:00,191.8000000000,C20190726M1,Río Mana,uuid:27bc3379-0fa7-4527-9649-42902f71089a,uuid:6e160825-1b43-4d2b-a180-6d25f5abd871,anonymousUser,2019-07-26 22:52:38.852,NULL,2019-07-26 22:52:38.852,uuid:27bc3379-0fa7-4527-9649-42902f71089a,20,uuid:27bc3379-0fa7-4527-9649-42902f71089a,133,70,036
